course_title,course_id,lecturer_name,related_topics,subject,level,durations,ratings,num_ratings,student,price,last_update,articles,exercise,downloadable_resources,url
"Anti-Money Laundering Concepts: AML, KYC and Compliance",3385322,GenMan Solutions,"Anti-Money Laundering (AML), Compliance, Finance & Accounting",Anti-Money Laundering (AML),All Levels,2.5 hours,4.6,26075,142222,"Rp159,000",2/2026,7,0,2,https://www.udemy.com/course/anti-money-laundering-aml-kyc/
Certified Anti-Money Laundering and Compliance Expert (CAML),6390251,YouAccel Training,"Anti-Money Laundering (AML), Compliance, Finance & Accounting",Anti-Money Laundering (AML),All Levels,18.5 hours,4.4,777,3873,"Rp159,000",1/2025,1,0,74,https://www.udemy.com/course/certified-anti-money-laundering-and-compliance-expert/
"Anti-Money Laundering: AML, KYC, CDD & EDD Compliance",6560793,Mayfair Real Estate Institute,"Anti-Money Laundering (AML), Compliance, Finance & Accounting",Anti-Money Laundering (AML),All Levels,2 hours,4.7,411,874,"Rp149,000",6/2025,1,0,4,https://www.udemy.com/course/anti-money-laundering-aml-kyc-cdd-edd-compliance/
"Anti-Money Laundering Basics - AML, KYC, Compliance, CDD",6062441,Compliance Ninja,"Anti-Money Laundering (AML), Certified in Governance, Risk and Compliance (CGRC), Compliance, Finance & Accounting",Anti-Money Laundering (AML),All Levels,3.5 hours,4.7,220,460,"Rp149,000",3/2026,2,0,4,https://www.udemy.com/course/intro-to-anti-money-laundering-aml-compliance-kyc/
Anti-Money Laundering (AML) Fundamentals,3322810,Amal Jayasinghe,"Anti-Money Laundering (AML), Compliance, Finance & Accounting",Anti-Money Laundering (AML),Beginner,1.5 hours,4.3,140,297,"Rp149,000",7/2020,0,0,0,https://www.udemy.com/course/anti-money-laundering-fundamentals/
Financial Crime: Processes & Technology - Masterclass,4987564,Rian Chapman,"Criminology, Compliance, Finance & Accounting",Anti-Money Laundering (AML),All Levels,10 hours,4.6,4214,12838,"Rp149,000",1/2026,0,0,37,https://www.udemy.com/course/financial-crime-processes-technology-masterclass/
The Complete AML & KYC Compliance Masterclass,6643627,Sudeep Suresh,"Anti-Money Laundering (AML), Compliance, Finance & Accounting",Anti-Money Laundering (AML),All Levels,2.5 hours,4.5,1419,4329,"Rp149,000",3/2026,4,0,0,https://www.udemy.com/course/aml-kyc-kyb-ubo-cdd-compliance-training/
Diploma in Anti Money Laundering (AML) KYC and Compliance,6844801,Training Excellence,"Anti-Money Laundering (AML), Compliance Management, Banking, Financial Accounting, Compliance",Anti-Money Laundering (AML),All Levels,3.5 hours,4.6,86,241,"Rp149,000",1/2026,1,0,0,https://www.udemy.com/course/aml-anti-money-laundering-kyc/
Anti-Money Laundering (AML) Masterclass,6466159,Ionised Learning,"Anti-Money Laundering (AML), Compliance, Finance & Accounting",Anti-Money Laundering (AML),All Levels,2.5 hours,4.3,14,35,"Rp149,000",11/2025,0,0,0,https://www.udemy.com/course/aml-masterclass/
The Complete Guide To Anti Money Laundering (AML) Compliance,4273070,SIA Global Security,"Anti-Money Laundering (AML), Compliance, Finance & Accounting",Anti-Money Laundering (AML),Beginner,2 hours,4.4,7847,14844,"Rp149,000",9/2021,0,0,0,https://www.udemy.com/course/the-complete-guide-to-anti-money-laundering-aml-compliance/
The Ultimate Guide to Money Laundering and AML Compliance,3275814,Financial Crime Academy,"Anti-Money Laundering (AML), Compliance, Finance & Accounting",Anti-Money Laundering (AML),All Levels,4.5 hours,4.6,2886,7950,"Rp149,000",2/2024,9,0,15,https://www.udemy.com/course/the-ultimate-guide-to-money-laundering-and-aml-compliance/
"AML Essentials: Anti Money Laundering, KYC and Compliance",3520686,Financial Crime Academy,"Anti-Money Laundering (AML), Compliance, Finance & Accounting",Anti-Money Laundering (AML),All Levels,1 hour,4.6,1369,3479,"Rp149,000",2/2024,6,0,2,https://www.udemy.com/course/aml-essentials-anti-money-laundering-kyc-and-compliance/
Anti-Money Laundering AML/CFT - Practical Case Studies,6592981,Governance Risk and Compliance GRC,"Anti-Money Laundering (AML), Compliance, Finance & Accounting",Anti-Money Laundering (AML),Intermediate,3.5 hours,4.1,5,18,"Rp149,000",11/2025,0,0,8,https://www.udemy.com/course/anti-money-laundering-amlcft-practical-case-studies/
Anti Money Laundering (AML / CFT) Compliance Requirements,3714918,Governance Risk and Compliance GRC,"Anti-Money Laundering (AML), Compliance, Finance & Accounting",Anti-Money Laundering (AML),Intermediate,3.5 hours,4.5,2534,6544,"Rp149,000",7/2025,0,0,0,https://www.udemy.com/course/anti-money-laundering-aml-cft-compliance-requirements/
Anti-Money Laundering (AML) Essentials,6756185,Manish Nadar,"Anti-Money Laundering (AML), Other IT & Software, IT & Software",Anti-Money Laundering (AML),Beginner,1 hour,4.4,53,2658,"Rp149,000",8/2025,0,0,0,https://www.udemy.com/course/anti-money-laundering-aml-essentials-a/
End to End AML KYC (Anti-Money Laundering and KYC),5327098,Surendra Reddy B,"Anti-Money Laundering (AML), Business Analytics & Intelligence, Business",Anti-Money Laundering (AML),All Levels,13.5 hours,4.1,853,2660,"Rp149,000",11/2025,0,0,3,https://www.udemy.com/course/end-to-end-aml-kyc-anti-money-laundering-and-kyc/
Anti Money Laundering (AML) Insights for Financial Security,6583467,Academy of Genius Graduates,"Anti-Money Laundering (AML), Compliance, Finance & Accounting",Anti-Money Laundering (AML),All Levels,2 hours,4.4,102,5317,"Rp149,000",7/2025,0,0,7,https://www.udemy.com/course/anti-money-laundering-aml-kyc-compliance/
Anti-Money Laundering AML CFT KYC and Compliance Program,6717735,CKA Coaching and Consulting,"Anti-Money Laundering (AML), Certified Anti-Money Laundering Specialist (CAMS), Compliance Management, Risk Management, Compliance",Anti-Money Laundering (AML),All Levels,5 hours,4.4,12,70,"Rp149,000",1/2026,0,0,18,https://www.udemy.com/course/anti-money-laundering-aml-and-compliance-program/
Complete Guide to Anti-Money Laundering (AML) Officers,5470860,Owais Ahmed Qureshi,"Anti-Money Laundering (AML), Business Law, Business",Anti-Money Laundering (AML),Expert,1.5 hours,4.1,33,3343,"Rp149,000",4/2025,0,0,11,https://www.udemy.com/course/comprehensive-guide-to-anti-money-laundering-aml-operation/
Anti-Money Laundering (AML) in Banking and Fintech,6174177,"Dien Pham, Educonnhub","Anti-Money Laundering (AML), Management, Business",Anti-Money Laundering (AML),All Levels,1.5 hours,4.3,33,96,"Rp149,000",10/2025,1,0,1,https://www.udemy.com/course/anti-money-laundering-in-banking-and-fintech/
Implementation of Anti Money Laundering AML Framework,3172084,Governance Risk and Compliance GRC,"Anti-Money Laundering (AML), Compliance, Finance & Accounting",Anti-Money Laundering (AML),Intermediate,2.5 hours,4.2,97,277,"Rp149,000",11/2025,0,0,6,https://www.udemy.com/course/implementation-of-anti-money-laundering-aml-framework/
Anti-Money Laundering (AML) Business Risk Assessment,4360404,"Vlad Karols, MBA, CIA, Int.Dip(AML)","Anti-Money Laundering (AML), Compliance, Finance & Accounting",Anti-Money Laundering (AML),All Levels,3.5 hours,4.6,143,802,"Rp149,000",9/2022,0,0,13,https://www.udemy.com/course/aml-business-risk-assessment/
Anti-Money Laundering Training Course,5333544,Antony Bellingall,"Anti-Money Laundering (AML), Compliance, Finance & Accounting",Anti-Money Laundering (AML),Beginner,2 hours,4.5,1400,3419,"Rp149,000",8/2023,0,0,0,https://www.udemy.com/course/idenfoamltraining/
AML Compliance in Practice: Suspicious Activity Reports,3723804,Financial Crime Academy,"Anti-Money Laundering (AML), Compliance, Finance & Accounting",Anti-Money Laundering (AML),Intermediate,1.5 hours,4.5,833,2864,"Rp149,000",8/2024,7,0,4,https://www.udemy.com/course/suspicious-activity-reports/
AML Case Investigation Skills,3378356,Amal Jayasinghe,"Anti-Money Laundering (AML), Compliance, Finance & Accounting",Anti-Money Laundering (AML),Intermediate,1.5 hours,4.5,5151,13096,"Rp149,000",10/2020,0,0,0,https://www.udemy.com/course/anti-money-laundering-aml-case-investigations/
Anti-Money Laundering (AML CFT) and CDD a complete guide,5102262,Owais Ahmed Qureshi,"Anti-Money Laundering (AML), Other Business, Business",Anti-Money Laundering (AML),All Levels,1 hour,4.1,44,3503,"Rp149,000",4/2025,0,0,0,https://www.udemy.com/course/aml-cft-and-cdd-complete-guide/
Sanctions Compliance Bootcamp – Including AML/KYC Lectures,3765142,Financial Crime Academy,"Trade and Commerce, Anti-Money Laundering (AML), Compliance, Finance & Accounting",Anti-Money Laundering (AML),All Levels,3.5 hours,4.7,798,3060,"Rp149,000",8/2024,7,0,4,https://www.udemy.com/course/sanctions-compliance-aml-kyc/
Complete AML Compliance Masterclass,7064975,Owais Ahmed Qureshi,"Anti-Money Laundering (AML), Business Law, Business",Anti-Money Laundering (AML),All Levels,18.5 hours,4.6,N/A,2,"Rp149,000",3/2026,0,0,0,https://www.udemy.com/course/complete-aml-compliance-masterclass/
CAMS V7 | 96%+ Results | Real Questions - 2026,6188127,Algoholic.io ™,"Certified Anti-Money Laundering Specialist (CAMS), IT Certifications, IT & Software",Anti-Money Laundering (AML),Expert,N/A,4.4,75,780,"Rp149,000",12/2025,0,0,0,https://www.udemy.com/course/certified-anti-money-laundering-specialists-cams/
Ace Certified Anti-Money Laundering Specialist (CAMS) Guide,6568307,Kareem Ullah,"Certified Anti-Money Laundering Specialist (CAMS), IT Certifications, IT & Software",Anti-Money Laundering (AML),All Levels,2 hours,4.3,219,550,"Rp149,000",4/2025,0,0,0,https://www.udemy.com/course/ace-certified-anti-money-laundering-specialist-cams-guide/
Anti-Money Laundering,5630988,John Waldron,"Anti-Money Laundering (AML), Compliance, Finance & Accounting",Anti-Money Laundering (AML),All Levels,1 hour,4.8,4,10,"Rp149,000",10/2023,0,0,0,https://www.udemy.com/course/anti-money-laundering-canada/
Anti-Money Laundering: AML Compliance Fundamentals,6988791,Course Planet,"Anti-Money Laundering (AML), Certified Anti-Money Laundering Specialist (CAMS), Career Development, Personal Development",Anti-Money Laundering (AML),All Levels,1.5 hours,4.6,N/A,2,"Rp149,000",1/2026,0,0,0,https://www.udemy.com/course/anti-money-laundering-aml-compliance-fundamentals/
Anti-Money Laundering Masterclass,6912045,"Dr. Gurgen Petrossian, LL.M.","Anti-Money Laundering (AML), Sustainable Development, Compliance Management, Environmental, Social and Governance (ESG), Business Strategy",Anti-Money Laundering (AML),Beginner,2.5 hours,5.0,1,3,"Rp149,000",11/2025,0,0,0,https://www.udemy.com/course/anti-money-laundering-masterclass/
