course_title,course_id,lecturer_name,related_topics,subject,level,durations,ratings,num_ratings,student,price,last_update,articles,exercise,downloadable_resources,url
"AI Video School Complete Beginner to Pro: Veo3, Kling, Sora+",6344253,AI Video School,"AI Content Generation, Artificial Intelligence (AI), Generative AI (GenAI), Other Photography & Video, Photography & Video",AI Content Generation,All Levels,26.5 hours,4.5,3815,25044,"Rp169,000",3/2026,1,0,10,https://www.udemy.com/course/ai-video-school/
"The Complete AI Guide: Learn ChatGPT, Generative AI & More",5170404,"Julian Melanson, Benza Maman, Leap Year Learning","ChatGPT, Midjourney, DALL·E, AI Art Generation, Generative AI (GenAI)",AI Content Generation,All Levels,41.5 hours,4.5,59420,342253,"Rp169,000",3/2026,22,0,147,https://www.udemy.com/course/complete-ai-guide/
The Complete AI Video Creation Course: Make stunning videos,6909811,Coding Revolution,"Generative AI (GenAI), Media, Business",AI Content Generation,All Levels,14.5 hours,4.7,309,2959,"Rp149,000",3/2026,2,0,134,https://www.udemy.com/course/the-complete-ai-video-creation-course-make-stunning-videos/
Complete AI Content Mastery for Social Media & Beyond,6699953,"Codestars • over 2.5 million students worldwide!, Maggie Stara","AI Content Generation, ChatGPT, Social Media Marketing, Generative AI (GenAI), Marketing",AI Content Generation,All Levels,4 hours,4.6,327,2603,"Rp159,000",3/2026,1,0,1,https://www.udemy.com/course/ai-content-creation-mastery/
The Complete Prompt Engineering for AI Bootcamp (2026),5238734,"Mike Taylor, James Phoenix","Prompt Engineering, Software Development Tools, Development",AI Content Generation,All Levels,23 hours,4.5,138455,342278,"Rp169,000",3/2026,2,0,77,https://www.udemy.com/course/prompt-engineering-for-ai/
How to use ChatGPT and Generative AI to help create content,5117770,Justin Barnett,"Generative AI (GenAI), ChatGPT, Other IT & Software, IT & Software",AI Content Generation,All Levels,7 hours,4.5,72714,143949,"Rp149,000",1/2026,0,0,31,https://www.udemy.com/course/how-to-use-chatgpt-and-generative-ai-to-help-create-content/
ChatGPT 5 for Viral Content Creation Social Media Generation,5813224,Jun Wu - Social Media Influencer,"AI Content Generation, ChatGPT, Content Creation, Content Marketing, Marketing",AI Content Generation,All Levels,2.5 hours,4.3,755,4199,"Rp169,000",11/2025,6,0,13,https://www.udemy.com/course/chatgpt-for-viral-content-creation-social-media-generation/
Gemini Nano Banana + Whisk: Cinematic AI Prompt Engineering,6845561,Dinçer Aydın,"AI Content Generation, Generative AI (GenAI), Google Gemini (Bard), User Experience Design, Design",AI Content Generation,All Levels,7.5 hours,4.7,35,295,"Rp149,000",3/2026,8,0,49,https://www.udemy.com/course/google-whisk-nano-banana-cinematic-ai-prompt-engineering/
The AI Engineer Course 2026: Complete AI Engineer Bootcamp,6112535,365 Careers,"Artificial Intelligence (AI), Data Science, Development",AI Content Generation,All Levels,29.5 hours,4.6,18924,128126,"Rp169,000",3/2026,29,107,156,https://www.udemy.com/course/the-ai-engineer-course-complete-ai-engineer-bootcamp/
"AI Tools for Content Creation: ChatGPT, MidJourney & More",6541537,Claudiu Ivan Academy,"AI Content Generation, Midjourney, ChatGPT, Generative AI (GenAI), Video Design",AI Content Generation,Beginner,6 hours,4.7,427,787,"Rp159,000",7/2025,2,0,10,https://www.udemy.com/course/ai-tools-for-content-creation-chatgpt-midjourney-more/
