course_title,course_id,lecturer_name,related_topics,subject,level,durations,ratings,num_ratings,student,price,last_update,articles,exercise,downloadable_resources,url
Alan Sharpe's 30-hr Copywriting Masterclass + ChatGPT tips,3026298,Alan Sharpe,"Copywriting, Digital Marketing, Marketing",Copywriting,All Levels,28.5 hours,4.6,4959,26643,"Rp159,000",11/2025,20,0,34,https://www.udemy.com/course/alan-sharpe-copywriting-masterclass/
The Complete Copywriting Course : Write to Sell Like a Pro,1575836,"Codestars • over 2.5 million students worldwide!, Tamsin Henderson","Copywriting, Other Marketing, Marketing",Copywriting,All Levels,3 hours,4.5,25944,99121,"Rp159,000",2/2026,7,0,20,https://www.udemy.com/course/the-complete-copywriting-course/
The Ultimate Copywriting Course - Write Copy That Sells 2026,4159932,"Joshua George, ClickSlice Ltd","Copywriting, Paid Advertising, Marketing",Copywriting,All Levels,3 hours,4.5,2540,10409,"Rp149,000",1/2026,13,0,14,https://www.udemy.com/course/ultimate-copywriting-training-course/
Copywriting for Six Figures: Become a Copy Writing God!,4016590,"Dekker the Marketer, Jyra Galosmo, Neelisha Singhal","Copywriting, Content Marketing, B2B Sales, Marketing",Copywriting,All Levels,19.5 hours,4.6,1484,75545,"Rp149,000",3/2026,18,0,11,https://www.udemy.com/course/b2b-copywriting/
Copywriting: Master Content Writing & Copy Writing,3837596,"Video School, Phil Ebiner, Brian Birmingham","Copywriting, Business Writing, Digital Marketing, Email Marketing, Marketing Fundamentals",Copywriting,All Levels,5.5 hours,4.2,1497,8754,"Rp159,000",10/2025,6,0,4,https://www.udemy.com/course/copywriting-class/
Create a Copywriting Portfolio with No Experience,4994088,Alan Sharpe,"Copywriting, Content Marketing, Marketing",Copywriting,Beginner,2 hours,4.7,261,1343,"Rp149,000",5/2024,0,0,0,https://www.udemy.com/course/create-a-copywriting-portfolio-with-no-experience/
Copywriting with ChatGPT Mastery: Write Copy That Sells FAST,5507080,Sumner Hobart,"Copywriting, ChatGPT, Content Writing, Business Writing, Marketing Fundamentals",Copywriting,All Levels,5 hours,4.4,309,9836,"Rp149,000",1/2026,0,0,0,https://www.udemy.com/course/chat-gpt-copywriting/
Genuine Copywriting: Effective Copywriting That Gets Results,4451954,"Lahcen Bouya, Authentic Biz","Copywriting, Other Marketing, Marketing",Copywriting,All Levels,5 hours,4.7,124,8442,"Rp149,000",3/2026,2,0,2,https://www.udemy.com/course/genuine-copywriting/
Copywriting - Become a Freelance Copywriter In 7 Days,784508,The Startup Central Co.,"Writing, Copywriting, Freelancing, E-Commerce, Business",Copywriting,All Levels,1.5 hours,4.5,1502,11623,"Rp149,000",10/2018,4,0,3,https://www.udemy.com/course/copywritingsystem/
Build a Lucrative Copywriting Portfolio With Ease,2049705,Tamsin Henderson,"Copywriting, Marketing Fundamentals, Marketing",Copywriting,All Levels,1 hour,4.6,1932,11245,"Rp149,000",2/2026,3,0,10,https://www.udemy.com/course/build-an-awesome-copywriting-portfolio-from-scratch/
The Ultimate Copywriting Masterclass,6351881,Yusuf Onabekun,"Copywriting, Content Marketing, Marketing",Copywriting,All Levels,2 hours,4.6,155,270,"Rp149,000",2/2025,0,0,5,https://www.udemy.com/course/the-ultimate-copywriting-masterclass/
Modern Copywriting: Writing copy that sells in 2025,1466432,Evan Kimbrell,"Copywriting, Writing, Content Writing, Content Marketing, Marketing Fundamentals",Copywriting,All Levels,7 hours,4.4,5737,45194,"Rp149,000",12/2025,2,0,94,https://www.udemy.com/course/modern-copywriting-writing-copy-that-sells-in-2018/
Copywriting For Business,7048417,Olukayode Badejo,"Copywriting, Digital Marketing, Marketing",Copywriting,All Levels,3.5 hours,4.5,N/A,N/A,"Rp149,000",2/2026,1,0,4,https://www.udemy.com/course/copywriting-for-business/
