course_title,course_id,lecturer_name,related_topics,subject,level,durations,ratings,num_ratings,student,price,last_update,articles,exercise,downloadable_resources,url
Ableton Live 12 - Music Production in Ableton Live,5659434,"Tomas George, Ian Alexander, Digital Music Masters","Ableton Live, Music Production, Music",Ableton Live,All Levels,21 hours,4.7,1618,8647,"Rp159,000",3/2026,1,0,53,https://www.udemy.com/course/ableton-live-course/
Electronic Music Production with Ableton Live [2025],6523651,Simon Stokes,"Ableton Live, Music Production, Music",Ableton Live,Beginner,15 hours,4.9,792,2932,"Rp149,000",6/2025,0,0,0,https://www.udemy.com/course/electronic-music-production-with-ableton-live-subsine/
Electronic Music Production with Ableton Live,3594210,Simon Stokes,"Music Production, Audio Editing, Music Theory, Sound Design, Music",Ableton Live,All Levels,12 hours,4.9,2400,10343,"Rp149,000",4/2025,0,0,0,https://www.udemy.com/course/electronic-music-production-with-ableton-live/
"Ableton Live 12 Complete Mastery MEGA BUNDLE: Parts 1, 2,& 3",6310137,J. Anthony Allen,"Ableton Live, Music Production, Music",Ableton Live,All Levels,14 hours,4.7,305,1487,"Rp149,000",11/2025,6,0,7,https://www.udemy.com/course/learnlive12/
"Ableton Live 12 Complete Mastery MEGA BUNDLE: Parts 4, 5,& 6",6584247,J. Anthony Allen,"Ableton Live, Music Production, Music",Ableton Live,All Levels,13.5 hours,4.8,43,938,"Rp149,000",11/2025,15,0,15,https://www.udemy.com/course/learningabletonlive/
"Ableton Certified Training: Ableton Live 11 (Part 1, 2, & 3)",3968950,J. Anthony Allen,"Ableton Live, Music Software, Music",Ableton Live,All Levels,9 hours,4.7,3016,22134,"Rp149,000",11/2025,7,0,6,https://www.udemy.com/course/ableton-live-11-masterclass/
Ableton Live 12 Masterclass: Complete Music Production Guide,4925810,Benza Maman,"Electronic Music, Music Mixing, Music Production, Ableton Live, Music",Ableton Live,All Levels,14 hours,4.3,670,5323,"Rp149,000",8/2024,3,0,32,https://www.udemy.com/course/ableton-masterclass/
Performing Your Music with Ableton Live,3566061,Jor van der Poel,"Ableton Live, Music Software, Music",Ableton Live,All Levels,3.5 hours,4.6,71,544,"Rp149,000",10/2020,1,0,5,https://www.udemy.com/course/performing-your-music-with-ableton-live/
Ableton Live for Beginners,3704942,Dylan Bowes,"Ableton Live, Music Production, Music",Ableton Live,Beginner,6 hours,4.5,159,1833,"Rp149,000",1/2022,0,0,1,https://www.udemy.com/course/ableton-live/
"Music Theory for Electronic Music COMPLETE: Parts 1, 2, & 3",1147828,J. Anthony Allen,"Electronic Music, Music Production, Ableton Live, Music Theory, Music Fundamentals",Ableton Live,Beginner,12.5 hours,4.7,9283,53304,"Rp299,000",11/2025,12,0,10,https://www.udemy.com/course/music-theory-for-electronic-music-complete-parts-1-2-3/
101 Creative Techniques In Ableton Live,5540106,Ross Geldart,"Sound Design, Music Production, Music",Ableton Live,All Levels,11.5 hours,4.7,47,506,"Rp149,000",2/2026,0,0,0,https://www.udemy.com/course/101-creative-techniques-in-ableton-live/
Ableton Live 11 - Music Production in Ableton Live,3626878,"Tomas George, Ian Alexander, Digital Music Masters","Ableton Live, Electronic Music, Music Mixing, Music Production, Music",Ableton Live,All Levels,21.5 hours,4.6,6322,27612,"Rp149,000",3/2026,1,0,34,https://www.udemy.com/course/ableton-live-11-course/
Beginner's Guide to Music Production in Ableton Live,3502142,Rob Jones,"Music Production, Music Software, Music",Ableton Live,Beginner,9.5 hours,4.5,33,197,"Rp149,000",10/2020,0,0,28,https://www.udemy.com/course/beginners-guide-to-music-production-in-ableton-live/
"Ableton Certified Training: Ableton Live 11 (Part 4, 5, & 6)",3971382,J. Anthony Allen,"Ableton Live, Music Software, Music",Ableton Live,All Levels,11 hours,4.6,723,9078,"Rp149,000",11/2025,11,0,10,https://www.udemy.com/course/producing-with-ableton-live-11/
"Ultimate Ableton Live 9 COMPLETE: Parts 1, 2, & 3",890884,J. Anthony Allen,"Ableton Live, Music Software, Music",Ableton Live,Beginner,8.5 hours,4.7,3462,14676,"Rp149,000",2/2023,7,0,7,https://www.udemy.com/course/ultimate-ableton-live-complete/
Learn Python through Music with Ableton Live,5124732,Jor van der Poel,"Python, Music Production, Ableton Live, Programming Languages, Development",Ableton Live,All Levels,13 hours,4.5,137,2812,"Rp149,000",3/2025,1,0,5,https://www.udemy.com/course/learning-python-with-ableton-live/
Ableton Live: Your Guide For Musicproduction with Ableton,3976228,"Marius Worch, Philipp Godart","Ableton Live, Other IT & Software, IT & Software",Ableton Live,All Levels,24.5 hours,4.5,132,755,"Rp149,000",11/2024,0,0,25,https://www.udemy.com/course/ableton-live-/
Music Production Boot Camp 2025: Create Music in Ableton,5091100,Benza Maman,"Music Production, Music Composition, Music Theory, Ableton Live, Music",Ableton Live,All Levels,25 hours,4.7,175,1421,"Rp159,000",1/2025,1,0,15,https://www.udemy.com/course/ai-music-production-boot-camp/
Ableton Live: Music Production Masterclass in Ableton Live,4948032,"Video School, Phil Ebiner, Matt Kass","Ableton Live, Music Mixing, Music Production, Songwriting, Music Software",Ableton Live,All Levels,12.5 hours,4.5,164,1785,"Rp149,000",4/2024,4,0,3,https://www.udemy.com/course/ableton-live-music-production-masterclass/
Ableton Live Lite & Ableton Live Intro Complete Guide,4977398,J. Anthony Allen,"Ableton Live, Music Production, Music",Ableton Live,All Levels,3.5 hours,4.5,106,512,"Rp149,000",11/2025,1,0,1,https://www.udemy.com/course/ableton-live-lite-ableton-live-intro-complete-guide/
Music Production in Ableton Live 10 - The Complete Course!,1435772,"Tomas George, Digital Music Masters","Music Production, Audio Production, Music Theory, Ableton Live, Music",Ableton Live,All Levels,15.5 hours,4.6,5430,26654,"Rp149,000",3/2026,2,0,2,https://www.udemy.com/course/abletonlive10/
"Ultimate Ableton Live 12, Part 1: Production Principles",5733364,J. Anthony Allen,"Ableton Live, Music Production, Music",Ableton Live,Beginner,5 hours,4.7,311,1432,"Rp149,000",11/2025,1,0,1,https://www.udemy.com/course/music-production-with-ableton-live-12/
Ableton Live 12 for Music Production: Quick Start Guide,6852311,"Tomas George, Digital Music Masters","Ableton Live, Music Software, Music",Ableton Live,Beginner,1 hour,4.8,21,307,"Rp149,000",2/2026,0,0,3,https://www.udemy.com/course/ableton-live-beginners/
Getting Your Act Together In Ableton Live,5643644,Ross Geldart,"Ableton Live, Music Production, Sound Design, Music",Ableton Live,All Levels,1.5 hours,4.7,20,471,"Rp149,000",12/2023,0,0,0,https://www.udemy.com/course/getting-your-st-together-in-ableton-live/
Ableton Live: Complete EDM Music Production in 3 Hours,4572510,Charlie Atom,"Music Production, EDM, Ableton Live, Music",Ableton Live,Beginner,3 hours,4.7,103,10292,"Rp159,000",3/2022,0,0,1,https://www.udemy.com/course/charlieatom-edmproduction-3hours/
Ableton Live | Drum Programming | GPP Masterclass,5441534,Ross Geldart,"Sound Design, Music Production, Music",Ableton Live,All Levels,4.5 hours,4.5,36,1354,"Rp149,000",12/2025,0,0,1,https://www.udemy.com/course/ableton-live-drum-programming-gpp-masterclass/
Music Production for Beginners: The Complete Ableton Course,4669882,Charles Hoffman,"Music Production, Music",Ableton Live,Beginner,9.5 hours,4.7,100,632,"Rp149,000",5/2024,0,0,21,https://www.udemy.com/course/music-production-for-beginners-the-complete-ableton-course/
"Ultimate Ableton Live 9 Complete: Parts 4, 5, & 6",1295342,J. Anthony Allen,"Ableton Live, Music Software, Music",Ableton Live,Intermediate,12 hours,4.8,512,5923,"Rp149,000",2/2023,5,0,4,https://www.udemy.com/course/ultimate-ableton-live-complete-parts-4-5-6/
Mixing With Ableton Live,2597418,J. Anthony Allen,"Ableton Live, Music Production, Music",Ableton Live,All Levels,5.5 hours,4.3,336,1603,"Rp149,000",11/2025,30,0,3,https://www.udemy.com/course/mixing-with-ableton-live/
Songwriting in Ableton Live (or any Audio Application),3557745,J. Anthony Allen,"Songwriting, Music Fundamentals, Music",Ableton Live,Beginner,4 hours,4.6,174,1407,"Rp149,000",11/2025,2,0,1,https://www.udemy.com/course/songwriting-in-ableton-live-or-any-audio-application/
Ableton Live 12 in a Day - Learn Music Production in Ableton,1680862,"Martin Raay, Music-Prod Education","Ableton Live, Music Production, Music Recording, Music Sampling, Music Software",Ableton Live,All Levels,3 hours,4.4,648,5696,"Rp149,000",1/2026,0,0,0,https://www.udemy.com/course/learn-ableton-live-in-a-day-complete-production-course/
"Ultimate Ableton Live 12, Part 4: Sound Design & Synthesis",5755564,J. Anthony Allen,"Ableton Live, Music Production, Music",Ableton Live,Intermediate,5 hours,4.8,64,599,"Rp149,000",11/2025,12,0,12,https://www.udemy.com/course/sound-design-with-ableton-live-12/
Intuitive Music Production with Ableton Live,5981034,Codabass Musican,"Ableton Live, Music Production, Music",Ableton Live,All Levels,8 hours,4.7,14,85,"Rp149,000",11/2024,0,0,7,https://www.udemy.com/course/intuitive-music-production/
Ableton Live | Outside The Box | Audio Resampling,5313072,Ross Geldart,"Sound Design, Music Production, Music",Ableton Live,All Levels,3.5 hours,4.8,34,601,"Rp149,000",5/2024,0,0,1,https://www.udemy.com/course/outsidetheboxpart1/
"Ultimate Ableton Live 12, Part 3: Producing Music with Live",5755456,J. Anthony Allen,"Ableton Live, Music Production, Music",Ableton Live,Intermediate,5 hours,4.7,83,734,"Rp149,000",11/2025,6,0,7,https://www.udemy.com/course/producing-with-ableton-live-12/
How to make Uplifting Trance,2638390,Rick Snoman,"Music Production, Music Mixing, Music Instruction, Music",Ableton Live,All Levels,16.5 hours,4.8,374,1679,"Rp149,000",11/2021,0,0,0,https://www.udemy.com/course/how-to-make-uplifting-trance/
Ableton Live 12 in 90 Minutes: Certified Fast-Track Guide,6584399,J. Anthony Allen,"Ableton Live, Music Production, Music",Ableton Live,All Levels,1.5 hours,4.4,10,58,"Rp149,000",12/2025,2,0,2,https://www.udemy.com/course/learnabletonlivefast/
"Ultimate Ableton Live 12, Part 5: Producing with Effects",5797118,J. Anthony Allen,"Ableton Live, Music Production, Music",Ableton Live,Intermediate,5 hours,4.7,32,496,"Rp149,000",6/2024,3,0,3,https://www.udemy.com/course/effects-in-ableton-live-12/
"Ultimate Ableton Live 12, Part 6: Mixing, Mastering, & DJing",5835072,J. Anthony Allen,"Ableton Live, Ableton Push, Music Production, Music",Ableton Live,Intermediate,3.5 hours,4.6,32,504,"Rp149,000",11/2025,2,0,2,https://www.udemy.com/course/djing-with-ableton-live-12/
"Ultimate Ableton Live 10 COMPLETE: Parts 1, 2, and 3",1592962,J. Anthony Allen,"Ableton Live, Music Software, Music",Ableton Live,All Levels,8 hours,4.4,3506,14519,"Rp149,000",2/2023,6,0,6,https://www.udemy.com/course/ableton-live-10-complete/
"How I Made This Track: ""Baltimore"" (Includes Full Session)",6952621,J. Anthony Allen,"Music Production, Music",Ableton Live,All Levels,1 hour,4.7,N/A,20,"Rp149,000",12/2025,4,0,2,https://www.udemy.com/course/how-i-made-this-track/
Music Production in Ableton Live - Make Your First Pop Song.,6315121,Sanskar Vaishya,"Music Production, Ableton Live, Music",Ableton Live,All Levels,3 hours,4.2,11,205,"Rp149,000",7/2025,1,0,1,https://www.udemy.com/course/produce-hit-worthy-electronic-pop-step-by-step-course/
Ableton Live's Instrument Racks,514584,J. Anthony Allen,"Ableton Live, Music Software, Music",Ableton Live,Intermediate,1 hour,4.8,26,1036,"Rp149,000",2/2023,1,0,1,https://www.udemy.com/course/ableton-live-instrument-racks/
Ultimate Sound Design: Mastering Sound Design,2899228,J. Anthony Allen,"Sound Design, Music Production, Music",Ableton Live,All Levels,7.5 hours,4.7,1938,14946,"Rp159,000",12/2025,4,0,2,https://www.udemy.com/course/ultimate-sound-design/
Ableton Certified Training: What's New in Live 12,5688620,J. Anthony Allen,"Ableton Live, Music Production, Music",Ableton Live,All Levels,2.5 hours,4.7,96,741,"Rp149,000",11/2025,1,0,1,https://www.udemy.com/course/abletonlive12/
"Ultimate Ableton Live 12, Part 2: Recording Music and MIDI",5755346,J. Anthony Allen,"Ableton Live, Music Production, Music",Ableton Live,Beginner,4 hours,4.7,119,769,"Rp149,000",11/2025,1,0,1,https://www.udemy.com/course/recording-with-ableton-live-12/
Ableton - Learn The Basics Of Music Production.,3651908,Omar Meho,"Music Production, Music",Ableton Live,All Levels,11 hours,5.0,3,1064,"Rp149,000",9/2023,0,0,6,https://www.udemy.com/course/ableton-live-10-learn-the-basics/
"Ultimate Ableton Live 12, Part 7: Max for Live",5847212,J. Anthony Allen,"Ableton Live, Max For Live, Music Software, Music",Ableton Live,Expert,3.5 hours,4.5,18,356,"Rp149,000",11/2025,6,0,6,https://www.udemy.com/course/maxforlive-ableton-live-12/
