course_title,course_id,lecturer_name,related_topics,subject,level,durations,ratings,num_ratings,student,price,last_update,articles,exercise,downloadable_resources,url
COMPLETE Creative Writing - All Genres - THE FULL COURSE!,2381730,Trace Crawford,"Creative Writing, Playwriting, Poetry, Fiction Writing, Creativity",Creative Writing,All Levels,12 hours,4.7,5433,42296,"Rp249,000",4/2025,0,0,145,https://www.udemy.com/course/the-complete-creative-writer-all-genres-a-full-course/
The Foundations of Fiction (Writing Mastery),1137208,"Jessica Brody, Joanne Rendell, Writing Mastery","Fiction Writing, Creative Writing, Communication, Business",Creative Writing,All Levels,6 hours,4.5,6983,42541,"Rp159,000",12/2024,3,0,31,https://www.udemy.com/course/the-foundations-of-fiction-writing-mastery/
Write a Bestselling Novel in 15 Steps (Writing Mastery),1927274,"Jessica Brody, Writing Mastery","Novel Writing, Communication, Business",Creative Writing,All Levels,3.5 hours,4.7,4628,26353,"Rp159,000",12/2024,2,0,6,https://www.udemy.com/course/write-a-bestselling-novel-in-15-steps-writing-mastery/
Writing With Flair: How To Become An Exceptional Writer,196152,Shani Raja,"Writing, Writing Editing, Business Writing, Communication, Business",Creative Writing,All Levels,7 hours,4.7,23927,164884,"Rp349,000",11/2025,5,0,3,https://www.udemy.com/course/writing-with-flair-how-to-become-an-exceptional-writer/
Write a STORY - Creative CRASH COURSE on Writing Stories,6378609,Jordan Imiola,"Storytelling, Creativity, Personal Development",Creative Writing,Beginner,44 mins,4.8,16,54,"Rp149,000",9/2025,0,0,4,https://www.udemy.com/course/write-a-story/
Master Content Writing Skills | Certified Content Writer ®,7062157,School of Professional Psychology,"Creative Writing, Content Writing, Other Teaching & Academics, Teaching & Academics",Creative Writing,Beginner,1.5 hours,4.8,62,238,"Rp149,000",3/2026,0,0,0,https://www.udemy.com/course/modern-content-writing-masterclass-master-writing-skills-w/
AI-Powered Fiction with ChatGPT: Co-Create Your Novel (2026),5248068,"Michael Wood, M.Ed., M.S.","Creative Writing, Artificial Intelligence (AI), Novel Writing, ChatGPT, Creativity",Creative Writing,All Levels,5 hours,4.8,259,1448,"Rp149,000",11/2025,1,0,8,https://www.udemy.com/course/ai-powered-fiction-with-chatgpt/
Craft your Novel with Confidence: Creative Writing Course,6749767,Isabel Ashdown,"Creative Writing, Novel Writing, Fiction Writing, Writing, Creativity",Creative Writing,All Levels,3 hours,4.8,15,121,"Rp149,000",1/2026,1,0,17,https://www.udemy.com/course/craft-your-novel-with-confidence-creative-writing-course/
Complete Creative Writing Megacourse: Beginner to Expert,4779814,Skillademia Academy,"Creative Writing, Writing a Book, Fiction Writing, Writing, Creativity",Creative Writing,All Levels,13.5 hours,4.1,114,14343,"Rp149,000",8/2022,0,0,9,https://www.udemy.com/course/complete-creative-writing-megacourse-beginner-to-expert/
Ninja Writing: The Four Levels Of Writing Mastery,736456,Shani Raja,"Writing, Writing Editing, Business Writing, Communication, Business",Creative Writing,All Levels,4.5 hours,4.7,20735,123290,"Rp159,000",11/2025,2,0,10,https://www.udemy.com/course/ninja-writing-the-four-levels-of-writing-mastery/
Creative Writing Masterclass: Start Writing Your Own Stories,4309820,"Video School, Phil Ebiner, Brian Birmingham","Creative Writing, Writing a Book, Storytelling, Writing, Creativity",Creative Writing,Beginner,3.5 hours,4.5,622,5699,"Rp149,000",4/2024,5,0,3,https://www.udemy.com/course/creative-writing-masterclass/
Creative Non-Fiction Writing - You Can't Make This Stuff Up!,2419258,Trace Crawford,"Creative Writing, Writing a Book, Memoir, Blogging, Creativity",Creative Writing,All Levels,2 hours,4.7,318,1626,"Rp149,000",9/2022,0,0,16,https://www.udemy.com/course/creative-non-fiction-writing-you-cant-make-this-stuff-up/
Write Stories With a Twist,291674,Jane Bettany,"Short Story Writing, Writing, Humanities, Teaching & Academics",Creative Writing,Intermediate,1.5 hours,4.7,372,3707,"Rp149,000",4/2021,12,0,20,https://www.udemy.com/course/write-stories-with-a-twist/
Writing Short Stories: The Essential Guide,147260,Jane Bettany,"Short Story Writing, Writing, Humanities, Teaching & Academics",Creative Writing,All Levels,2.5 hours,4.5,1326,8632,"Rp149,000",9/2021,2,0,35,https://www.udemy.com/course/write-short-stories/
Mastering Character Arcs,2180590,K.M. Weiland,"Fiction Writing, Other Teaching & Academics, Teaching & Academics",Creative Writing,Beginner,7 hours,4.8,314,3504,"Rp149,000",1/2019,0,0,63,https://www.udemy.com/course/mastering-character-arcs/
The 30 DAY Creative Writing Challenge!,2579098,Trace Crawford,"Creative Writing, Fiction Writing, Poetry, Playwriting, Creativity",Creative Writing,All Levels,2.5 hours,4.7,221,1704,"Rp149,000",6/2023,0,0,94,https://www.udemy.com/course/the-30-day-creative-writing-challenge/
Crafting Dynamic Characters (Writing Mastery),3367986,"Jessica Brody, Mary Kole, Writing Mastery","Fiction Writing, Creative Writing, Novel Writing, Communication, Business",Creative Writing,All Levels,5.5 hours,4.5,892,7825,"Rp149,000",12/2024,2,0,16,https://www.udemy.com/course/crafting-dynamic-characters-writing-mastery/
Novel Writing 101: Turn Ideas into Captivating Stories,5917732,Claudiu Ivan Academy,"Novel Writing, Writing a Book, Writing, Creative Writing, Communication",Creative Writing,Beginner,1.5 hours,4.6,918,2504,"Rp149,000",7/2025,1,0,0,https://www.udemy.com/course/novel-writing-101-turn-ideas-into-captivating-stories/
Creative Writing Masterclass: Unlock Your Inner Storyteller,6369369,Isaac Rudansky,"Storytelling, Creative Writing, Self-Publishing, Business Writing, Communication",Creative Writing,All Levels,5.5 hours,4.7,26,1214,"Rp149,000",12/2024,0,0,0,https://www.udemy.com/course/creative-writing-masterclass-isaac-rudansky/
Scene by Scene: The Secret to Writing Unforgettable Fiction,5409036,"Jessica Brody, Writing Mastery, Jordan Rosenfeld","Fiction Writing, Communication, Business",Creative Writing,Beginner,3.5 hours,4.6,259,2781,"Rp159,000",12/2024,1,0,1,https://www.udemy.com/course/foundations-of-fiction-writing-in-scenes-writing-mastery/
The Easy Way to Write Short Stories That Sell,544600,Rob Parnell,"Short Story Writing, Sales Skills, Writing, Personal Productivity, Personal Development",Creative Writing,Beginner,2 hours,4.8,444,3307,"Rp149,000",4/2023,7,0,12,https://www.udemy.com/course/the-easy-way-to-write-short-stories-that-sell/
Writing a Book: Creative Writing Skills for Self-publishing,259292,"Brian Jackson, Writing a Book with ChatGPT AI, Creative Writing , Nonfiction, Amazon KDP Self-publishing. Moho 2D Animation, AI","Writing a Book, Writing, Creativity, Creative Writing, Personal Development",Creative Writing,Beginner,34 hours,4.5,2107,27405,"Rp249,000",7/2025,41,0,27,https://www.udemy.com/course/writing-a-book-creative-writing-skills-for-self-publishing/
How to Write Short Stories (and Publish Them),6474383,Gavin Boyter,"Short Story Writing, Writing, Fiction Writing, Storytelling, Creativity",Creative Writing,Intermediate,2.5 hours,4.7,27,153,"Rp149,000",2/2025,0,0,0,https://www.udemy.com/course/how-to-write-short-stories-and-publish-them/
The 10 SECRETS to Creative Writing Success!,3809302,Trace Crawford,"Creative Writing, Blogging, Fiction Writing, Screenwriting and Scriptwriting, Creativity",Creative Writing,All Levels,8 hours,4.8,81,564,"Rp149,000",6/2023,0,0,35,https://www.udemy.com/course/the-10-secrets-to-creative-writing-success/
Creative Writing For Beginners - Writing Creative Prose,1379586,Derek Bruce,"Writing a Book, Writing, Fiction Writing, Creative Writing, Creativity",Creative Writing,Beginner,1.5 hours,4.3,304,4164,"Rp149,000",10/2018,0,0,3,https://www.udemy.com/course/writing-for-beginners/
Memoir Writing Essentials: Bring Your Story to Life,6012552,Duncan Koerber,"Writing, Personal Transformation, Personal Development",Creative Writing,Beginner,4.5 hours,4.7,40,219,"Rp149,000",3/2026,0,0,0,https://www.udemy.com/course/memoir-writing-essentials/
Storytelling Masterclass for Writers—by a Successful Writer!,6183163,Dr. David Baboulene,"Storytelling, Other Teaching & Academics, Teaching & Academics",Creative Writing,All Levels,6.5 hours,4.9,75,738,"Rp379,000",5/2025,4,0,0,https://www.udemy.com/course/storytelling-masterclass-for-writers/
"Non-Fiction Writing: Authentic, Clear, and Confident",6747883,Koen Jules Van Damme,"Writing, Personal Productivity, Personal Development",Creative Writing,Beginner,4.5 hours,4.9,75,364,"Rp149,000",10/2025,0,0,11,https://www.udemy.com/course/authentic-nonfiction-writing/
Master Creative Writing | Creative Writing Certification,7092139,School of Professional Psychology,"Creative Writing, Creativity, Personal Development",Creative Writing,All Levels,1.5 hours,4.9,33,80,"Rp149,000",4/2026,0,0,0,https://www.udemy.com/course/creative-writing-masterclass-build-storytelling-skills/
